Year,Month,Decimal Date,co2,Seasonally Adjusted CO2,Carbon Dioxide Fit (ppm),Seasonally Adjusted CO2 Fit (ppm)
2001,3,2001.2027,372.12,370.63,372.06,370.55
2001,4,2001.2877,372.87,370.18,373.37,370.67
2001,5,2001.3699,374.02,370.79,374.02,370.79
2001,6,2001.4548,373.31,370.86,373.34,370.92
2001,7,2001.5370,371.62,370.81,371.82,371.05
2001,8,2001.6219,369.55,371,369.71,371.19
2001,9,2001.7068,367.96,371.29,368,371.35
2001,10,2001.7890,368.1,371.55,368.06,371.51
2001,11,2001.8740,369.68,371.86,369.52,371.67
2001,12,2001.9562,371.24,372.14,370.95,371.83
2002,1,2002.0411,372.44,372.41,372.03,372
2002,2,2002.1260,373.08,372.38,372.88,372.17
2002,3,2002.2027,373.52,372.03,373.84,372.33
2002,4,2002.2877,374.86,372.16,375.22,372.51
2002,5,2002.3699,375.55,372.31,375.94,372.7
2002,6,2002.4548,375.4,372.94,375.35,372.91
2002,7,2002.5370,374.02,373.21,373.9,373.13
2002,8,2002.6219,371.48,372.93,371.87,373.36
2002,9,2002.7068,370.7,374.04,370.24,373.59
2002,10,2002.7890,370.25,373.71,370.37,373.82
2002,11,2002.8740,372.08,374.26,371.9,374.06
2002,12,2002.9562,373.78,374.69,373.4,374.28
2003,1,2003.0411,374.68,374.66,374.54,374.51
2003,2,2003.1260,375.62,374.92,375.44,374.72
2003,3,2003.2027,376.11,374.61,376.43,374.91
2003,4,2003.2877,377.65,374.95,377.85,375.12
2003,5,2003.3699,378.35,375.1,378.58,375.33
2003,6,2003.4548,378.13,375.66,377.98,375.53
2003,7,2003.5370,376.61,375.8,376.5,375.72
2003,8,2003.6219,374.48,375.94,374.42,375.92
2003,9,2003.7068,372.98,376.33,372.73,376.1
2003,10,2003.7890,373,376.48,372.8,376.27
2003,11,2003.8740,374.34,376.54,374.26,376.43
2003,12,2003.9562,375.69,376.6,375.68,376.57
2004,1,2004.0410,376.79,376.76,376.74,376.71
2004,2,2004.1257,377.36,376.65,377.56,376.84
2004,3,2004.2049,378.39,376.87,378.5,376.96
2004,4,2004.2896,380.5,377.76,379.83,377.07
2004,5,2004.3716,380.61,377.35,380.44,377.18
2004,6,2004.4563,379.55,377.1,379.73,377.3
2004,7,2004.5383,377.76,376.99,378.17,377.42
2004,8,2004.6230,375.84,377.32,376.03,377.55
2004,9,2004.7077,374.05,377.42,374.32,377.71
2004,10,2004.7896,374.22,377.7,374.4,377.87
2004,11,2004.8743,375.84,378.04,375.88,378.05
2004,12,2004.9563,377.44,378.35,377.35,378.24
2005,1,2005.0411,378.34,378.31,378.48,378.44
2005,2,2005.1260,379.61,378.9,379.38,378.66
2005,3,2005.2027,380.17,378.67,380.38,378.85
2005,4,2005.2877,382.05,379.33,381.81,379.07
2005,5,2005.3699,382.24,378.96,382.56,379.29
2005,6,2005.4548,382.08,379.6,381.97,379.51
2005,7,2005.5370,380.67,379.85,380.5,379.72
2005,8,2005.6219,378.67,380.13,378.43,379.94
2005,9,2005.7068,376.42,379.79,376.76,380.15
2005,10,2005.7890,376.8,380.3,376.86,380.35
2005,11,2005.8740,378.31,380.51,378.36,380.55
2005,12,2005.9562,379.96,380.87,379.84,380.73
2006,1,2006.0411,381.37,381.34,380.95,380.91
2006,2,2006.1260,382.02,381.3,381.81,381.08
2006,3,2006.2027,382.56,381.05,382.76,381.23
2006,4,2006.2877,384.37,381.64,384.13,381.38
2006,5,2006.3699,384.92,381.64,384.81,381.53
2006,6,2006.4548,384.03,381.54,384.14,381.67
2006,7,2006.5370,382.28,381.47,382.6,381.81
2006,8,2006.6219,380.48,381.94,380.46,381.96
2006,9,2006.7068,378.81,382.19,378.72,382.11
2006,10,2006.7890,379.06,382.57,378.76,382.26
2006,11,2006.8740,380.14,382.35,380.22,382.41
2006,12,2006.9562,381.66,382.57,381.66,382.56
2007,1,2007.0411,382.58,382.56,382.74,382.71
2007,2,2007.1260,383.71,383,383.59,382.86
2007,3,2007.2027,384.34,382.82,384.54,383
2007,4,2007.2877,386.23,383.49,385.92,383.16
2007,5,2007.3699,386.41,383.12,386.61,383.32
2007,6,2007.4548,385.87,383.37,385.96,383.48
2007,7,2007.5370,384.45,383.63,384.43,383.64
2007,8,2007.6219,381.84,383.32,382.3,383.81
2007,9,2007.7068,380.86,384.25,380.56,383.97
2007,10,2007.7890,380.86,384.38,380.62,384.13
2007,11,2007.8740,382.35,384.58,382.09,384.29
2007,12,2007.9562,383.61,384.53,383.54,384.44
2008,1,2008.0410,385.07,385.05,384.62,384.58
2008,2,2008.1257,385.84,385.13,385.45,384.72
2008,3,2008.2049,385.83,384.29,386.43,384.86
2008,4,2008.2896,386.77,384,387.8,385.01
2008,5,2008.3716,388.51,385.21,388.47,385.17
2008,6,2008.4563,388.05,385.57,387.8,385.34
2008,7,2008.5383,386.25,385.46,386.26,385.51
2008,8,2008.6230,384.08,385.59,384.13,385.68
2008,9,2008.7077,383.09,386.5,382.42,385.85
2008,10,2008.7896,382.78,386.31,382.49,386.01
2008,11,2008.8743,384.01,386.23,383.96,386.16
2008,12,2008.9563,385.11,386.03,385.41,386.31
2009,1,2009.0411,386.65,386.63,386.5,386.46
2009,2,2009.1260,387.12,386.4,387.35,386.62
2009,3,2009.2027,388.51,386.99,388.3,386.76
2009,4,2009.2877,389.57,386.81,389.7,386.92
2009,5,2009.3699,390.16,386.85,390.4,387.09
2009,6,2009.4548,389.62,387.1,389.76,387.27
2009,7,2009.5370,388.07,387.24,388.25,387.46
2009,8,2009.6219,386.08,387.57,386.14,387.66
2009,9,2009.7068,384.65,388.07,384.44,387.87
2009,10,2009.7890,384.33,387.88,384.55,388.09
2009,11,2009.8740,386.05,388.28,386.1,388.31
2009,12,2009.9562,387.49,388.41,387.63,388.53
2010,1,2010.0411,388.55,388.53,388.8,388.76
2010,2,2010.1260,390.07,389.35,389.72,388.98
2010,3,2010.2027,391.01,389.48,390.73,389.18
2010,4,2010.2877,392.38,389.62,392.17,389.39
2010,5,2010.3699,393.22,389.89,392.9,389.58
2010,6,2010.4548,392.24,389.71,392.26,389.76
2010,7,2010.5370,390.33,389.51,390.73,389.94
2010,8,2010.6219,388.52,390.01,388.58,390.11
2010,9,2010.7068,386.84,390.26,386.83,390.28
2010,10,2010.7890,387.16,390.72,386.89,390.43
2010,11,2010.8740,388.67,390.91,388.36,390.58
2010,12,2010.9562,389.81,390.74,389.8,390.71
2011,1,2011.0411,391.3,391.27,390.88,390.84
2011,2,2011.1260,391.92,391.2,391.71,390.97
2011,3,2011.2027,392.45,390.92,392.64,391.08
2011,4,2011.2877,393.37,390.6,394.01,391.22
2011,5,2011.3699,394.28,390.95,394.69,391.36
2011,6,2011.4548,393.69,391.16,394.02,391.52
2011,7,2011.5370,392.6,391.77,392.48,391.68
2011,8,2011.6219,390.21,391.7,390.33,391.86
2011,9,2011.7068,389,392.44,388.59,392.04
2011,10,2011.7890,388.93,392.5,388.67,392.22
2011,11,2011.8740,390.24,392.49,390.18,392.41
2011,12,2011.9562,391.8,392.73,391.67,392.58
2012,1,2012.0410,393.07,393.05,392.8,392.76
2012,2,2012.1257,393.35,392.63,393.69,392.95
2012,3,2012.2049,394.36,392.79,394.72,393.13
2012,4,2012.2896,396.43,393.62,396.15,393.33
2012,5,2012.3716,396.87,393.52,396.87,393.53
2012,6,2012.4563,395.88,393.36,396.24,393.75
2012,7,2012.5383,394.52,393.72,394.73,393.97
2012,8,2012.6230,392.54,394.06,392.64,394.2
2012,9,2012.7077,391.13,394.58,390.97,394.45
2012,10,2012.7896,391.01,394.59,391.13,394.69
2012,11,2012.8743,392.95,395.2,392.71,394.93
2012,12,2012.9563,394.34,395.27,394.25,395.16
2013,1,2013.0411,395.61,395.58,395.43,395.4
2013,2,2013.1260,396.85,396.12,396.36,395.62
2013,3,2013.2027,397.26,395.71,397.38,395.82
2013,4,2013.2877,398.35,395.56,398.84,396.03
2013,5,2013.3699,399.98,396.62,399.59,396.23
2013,6,2013.4548,398.87,396.32,398.96,396.44
2013,7,2013.5370,397.37,396.54,397.43,396.63
2013,8,2013.6219,395.41,396.91,395.28,396.82
2013,9,2013.7068,393.39,396.85,393.54,397.01
2013,10,2013.7890,393.7,397.29,393.62,397.19
2013,11,2013.8740,395.19,397.46,395.13,397.37
2013,12,2013.9562,396.82,397.76,396.62,397.54
2014,1,2014.0411,397.93,397.9,397.75,397.71
2014,2,2014.1260,398.1,397.37,398.62,397.88
2014,3,2014.2027,399.47,397.92,399.6,398.03
2014,4,2014.2877,401.33,398.53,401.01,398.19
2014,5,2014.3699,401.88,398.51,401.72,398.35
2014,6,2014.4548,401.31,398.75,401.04,398.51
2014,7,2014.5370,399.07,398.23,399.47,398.67
2014,8,2014.6219,397.21,398.72,397.29,398.83
2014,9,2014.7068,395.4,398.87,395.51,399
2014,10,2014.7890,395.65,399.25,395.58,399.17
2014,11,2014.8740,397.22,399.5,397.1,399.34
2014,12,2014.9562,398.79,399.73,398.6,399.52
2015,1,2015.0411,399.85,399.83,399.73,399.7
2015,2,2015.1260,400.31,399.57,400.63,399.89
2015,3,2015.2027,401.51,399.96,401.64,400.06
2015,4,2015.2877,403.45,400.64,403.1,400.27
2015,5,2015.3699,404.11,400.73,403.86,400.48
2015,6,2015.4548,402.88,400.31,403.25,400.71
2015,7,2015.5370,401.6,400.76,401.76,400.96
2015,8,2015.6219,399,400.51,399.68,401.23
2015,9,2015.7068,397.5,400.98,398.03,401.53
2015,10,2015.7890,398.28,401.9,398.23,401.83
2015,11,2015.8740,400.24,402.52,399.9,402.16
2015,12,2015.9562,401.89,402.83,401.54,402.47
2016,1,2016.0410,402.65,402.62,402.82,402.78
2016,2,2016.1257,404.16,403.42,403.84,403.09
2016,3,2016.2049,404.86,403.27,404.98,403.37
2016,4,2016.2896,407.57,404.73,406.51,403.64
2016,5,2016.3716,407.65,404.26,407.28,403.89
2016,6,2016.4563,407,404.46,406.66,404.14
2016,7,2016.5383,404.5,403.69,405.14,404.37
2016,8,2016.6230,402.24,403.78,403.02,404.6
2016,9,2016.7077,401.01,404.52,401.33,404.85
2016,10,2016.7896,401.5,405.12,401.48,405.09
2016,11,2016.8743,403.64,405.92,403.08,405.34
2016,12,2016.9563,404.55,405.49,404.66,405.58
2017,1,2017.0411,406.07,406.04,405.87,405.83
2017,2,2017.1260,406.64,405.9,,
2017,3,2017.2027,,,,
2017,4,2017.2877,,,,
2017,5,2017.3699,,,,
2017,6,2017.4548,,,,
2017,7,2017.5370,,,,
2017,8,2017.6219,,,,
2017,9,2017.7068,,,,
2017,10,2017.7890,,,,
2017,11,2017.8740,,,,
2017,12,2017.9562,,,,
